timestamp,message
1769073488582,"[timing] 14.9ms [new]	./node	
"
1769073488582,"[timing] 15.5ms [new]	../platform	
"
1769073488582,"[timing] 16.0ms [new]	./common/time	
"
1769073488594,"[timing] 35.2ms [CACHED!]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488608,"[timing] 50.0ms [new]	./Tracer	
"
1769073488622,"[timing] 12.6ms [CACHED!]	@opentelemetry/resources@1.17.1	node_modules/@opentelemetry/resources/build/src/index.js
"
1769073488624,"[timing] 16.6ms [new]	./BasicTracerProvider	
"
1769073488631,"[timing] 74.9ms [new]	@opentelemetry/sdk-trace-base@1.9.1	node_modules/@opentelemetry/sdk-trace-base/build/src/index.js
"
1769073488654,"[timing] 10.6ms [CACHED!]	@opentelemetry/semantic-conventions@1.17.1	node_modules/@opentelemetry/semantic-conventions/build/src/index.js
"
1769073488674,"[timing] 10.4ms [new]	../platform	
"
1769073488674,"[timing] 10.9ms [new]	./common/time	
"
1769073488691,"[timing] 36.4ms [CACHED!]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488699,"[timing] 56.1ms [new]	./Resource	
"
1769073488706,"[timing] 65.1ms [CACHED!]	@opentelemetry/resources@1.17.1	node_modules/@opentelemetry/resources/build/src/index.js
"
1769073488711,"[timing] 76.5ms [new]	./LoggerProvider	
"
1769073488714,"[timing] 80.4ms [new]	@opentelemetry/sdk-logs@0.50.0	node_modules/@opentelemetry/sdk-logs/build/src/index.js
"
1769073488747,"[timing] 15.0ms [new]	./node	
"
1769073488747,"[timing] 15.5ms [new]	../platform	
"
1769073488747,"[timing] 16.0ms [new]	./common/time	
"
1769073488760,"[timing] 36.0ms [CACHED!]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488764,"[timing] 40.4ms [new]	./B3Propagator	
"
1769073488765,"[timing] 41.9ms [new]	@opentelemetry/propagator-b3@1.9.1	node_modules/@opentelemetry/propagator-b3/build/src/index.js
"
1769073488792,"[timing] 15.4ms [new]	./node	
"
1769073488792,"[timing] 16.0ms [new]	../platform	
"
1769073488793,"[timing] 16.6ms [new]	./common/time	
"
1769073488805,"[timing] 36.0ms [CACHED!]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488805,"[timing] 37.0ms [new]	./JaegerPropagator	
"
1769073488806,"[timing] 37.8ms [new]	@opentelemetry/propagator-jaeger@1.9.1	node_modules/@opentelemetry/propagator-jaeger/build/src/index.js
"
1769073488806,"[timing] 89.4ms [new]	./NodeTracerProvider	
"
1769073488806,"[timing] 90.1ms [new]	@opentelemetry/sdk-trace-node@1.9.1	node_modules/@opentelemetry/sdk-trace-node/build/src/index.js
"
